"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","140",2022-06-30,181,2022-06-29 16:00:00,2022-06-30 02:00:00,600,-12,-0.00035353535353753,2022-06-30 02:00:00,2022-06-30 16:00:00,840,90,0.00200198412697817,NA
"2","140",2022-07-01,182,2022-06-30 16:00:00,2022-07-01 02:00:00,600,-16,-0.000464646464642741,2022-07-01 02:00:00,2022-07-01 16:00:00,840,119,0.00263293650792896,NA
"3","140",2022-07-02,183,2022-07-01 16:00:00,2022-07-02 05:00:00,780,-11,-0.000286324786322622,2022-07-02 05:00:00,2022-07-02 16:00:00,660,90,0.00243104118110684,-1
"4","140",2022-07-03,184,2022-07-02 16:00:00,2022-07-03 05:00:00,780,-2,-3.72405372405892e-05,2022-07-03 05:00:00,2022-07-03 15:00:00,600,81,0.00234848484847084,-1
"5","140",2022-07-04,185,2022-07-03 15:00:00,2022-07-04 01:00:00,600,-2,-4.79797979794e-05,2022-07-04 01:00:00,2022-07-04 16:00:00,900,89,0.00194934640522876,NA
"6","140",2022-07-05,186,2022-07-04 16:00:00,2022-07-05 02:00:00,600,-25,-0.000797979797973773,NA,NA,NA,NA,NA,NA
"7","140",2022-07-06,187,NA,NA,NA,NA,NA,2022-07-05 02:00:00,2022-07-06 17:00:00,2340,247,0.0018357567229517,NA
"8","140",2022-07-07,188,2022-07-06 17:00:00,2022-07-07 01:00:00,480,-7,-0.000217592592592588,2022-07-07 01:00:00,2022-07-07 15:00:00,840,48,0.000947420634917681,NA
"9","140",2022-07-08,189,2022-07-07 15:00:00,2022-07-08 01:00:00,600,-10,-0.000249999999997894,2022-07-08 01:00:00,2022-07-08 17:00:00,960,90,0.00196078431367156,NA
"10","140",2022-07-09,190,2022-07-08 17:00:00,2022-07-09 02:00:00,540,-24,-0.000851851851858141,2022-07-09 02:00:00,2022-07-09 16:00:00,840,60,0.00141468253967843,NA
"11","140",2022-07-10,191,2022-07-09 16:00:00,2022-07-10 01:00:00,540,-17,-0.000609427609431774,2022-07-10 01:00:00,2022-07-10 15:00:00,840,65,0.00151388888887092,NA
"12","140",2022-07-11,192,2022-07-10 15:00:00,2022-07-11 02:00:00,660,-31,-0.000914918414933973,2022-07-11 02:00:00,2022-07-11 14:00:00,720,71,0.00171703296704035,-1
"13","140",2022-07-12,193,2022-07-11 14:00:00,2022-07-12 03:00:00,780,-72,-0.00183638583638874,2022-07-12 03:00:00,2022-07-12 16:00:00,780,108,0.00268681318679195,NA
"14","140",2022-07-13,194,2022-07-12 16:00:00,2022-07-13 01:00:00,540,-38,-0.00137205387204316,2022-07-13 01:00:00,2022-07-13 15:00:00,840,149,0.0033630952380567,NA
"15","140",2022-07-14,195,2022-07-13 15:00:00,2022-07-14 01:00:00,600,-18,-0.000520202020205301,2022-07-14 01:00:00,2022-07-14 14:00:00,780,108,0.00232844932845302,NA
"16","140",2022-07-15,196,2022-07-14 14:00:00,2022-07-15 02:00:00,720,-17,-0.000393772893770167,2022-07-15 02:00:00,2022-07-15 15:00:00,780,98,0.00247496947497311,NA
"17","140",2022-07-16,197,2022-07-15 15:00:00,2022-07-16 01:00:00,600,-39,-0.0012752525252427,2022-07-16 01:00:00,2022-07-16 17:00:00,960,116,0.00244825708058041,NA
"18","140",2022-07-17,198,2022-07-16 17:00:00,2022-07-17 01:00:00,480,-1,-1.85185185185101e-05,2022-07-17 01:00:00,2022-07-17 16:00:00,900,62,0.00143423202614379,NA
"19","140",2022-07-18,199,2022-07-17 16:00:00,2022-07-18 01:00:00,540,-18,-0.000604377104364147,2022-07-18 01:00:00,2022-07-18 14:00:00,780,58,0.00128510378510582,NA
"20","140",2022-07-19,200,2022-07-18 14:00:00,2022-07-19 04:00:00,840,-26,-0.000666666666659541,2022-07-19 04:00:00,2022-07-19 15:00:00,660,83,0.00239121989125686,-1
"21","140",2022-07-20,201,2022-07-19 15:00:00,2022-07-20 02:00:00,660,-38,-0.00114219114222369,2022-07-20 02:00:00,2022-07-20 14:00:00,720,83,0.00211843711842302,-1
"22","140",2022-07-21,202,2022-07-20 14:00:00,2022-07-21 02:00:00,720,-50,-0.00128815628816189,2022-07-21 02:00:00,2022-07-21 17:00:00,900,124,0.00279779411764706,NA
"23","140",2022-07-22,203,2022-07-21 17:00:00,2022-07-22 01:00:00,480,-21,-0.000842592592592593,2022-07-22 01:00:00,2022-07-22 15:00:00,840,102,0.00225992063489472,NA
"24","140",2022-07-23,204,2022-07-22 15:00:00,2022-07-23 01:00:00,600,-17,-0.000398989898986501,2022-07-23 01:00:00,2022-07-23 15:00:00,840,71,0.00140773809522072,NA
"25","140",2022-07-24,205,2022-07-23 15:00:00,2022-07-24 02:00:00,660,-25,-0.000663364413376191,2022-07-24 02:00:00,2022-07-24 14:00:00,720,43,0.000993589743582946,-1
"26","140",2022-07-25,206,2022-07-24 14:00:00,2022-07-25 02:00:00,720,-52,-0.00129884004884574,2022-07-25 02:00:00,2022-07-25 14:00:00,720,59,0.00150335775334795,-1
"27","140",2022-07-26,207,2022-07-25 14:00:00,2022-07-26 03:00:00,780,-85,-0.00218131868134328,2022-07-26 03:00:00,2022-07-26 14:00:00,660,81,0.00221348096351649,-1
"28","140",2022-07-27,208,2022-07-26 14:00:00,2022-07-27 01:00:00,660,-61,-0.0016540404040488,2022-07-27 01:00:00,2022-07-27 16:00:00,900,128,0.00291625816993464,NA
"29","140",2022-07-28,209,2022-07-27 16:00:00,2022-07-28 02:00:00,600,-34,-0.0011262626262688,2022-07-28 02:00:00,2022-07-28 14:00:00,720,94,0.00245726495724945,-1
"30","140",2022-07-29,210,2022-07-28 14:00:00,2022-07-29 02:00:00,720,-62,-0.0017216117216375,2022-07-29 02:00:00,2022-07-29 15:00:00,780,79,0.00196214896215171,NA
"31","140",2022-07-30,211,2022-07-29 15:00:00,2022-07-30 03:00:00,720,-83,-0.00230158730159657,2022-07-30 03:00:00,2022-07-30 14:00:00,660,100,0.00277000777005233,NA
"32","140",2022-07-30,211,2022-07-30 14:00:00,2022-07-30 23:00:00,540,-41,-0.00144612794611584,NA,NA,NA,NA,NA,NA
"33","140",2022-07-31,212,NA,NA,NA,NA,NA,2022-07-30 23:00:00,2022-07-31 16:00:00,1020,116,0.00235265451211555,NA
"34","140",2022-08-01,213,2022-07-31 16:00:00,2022-08-01 02:00:00,600,-60,-0.0019469696969556,2022-08-01 02:00:00,2022-08-01 15:00:00,780,89,0.00204700854702803,NA
"35","140",2022-08-02,214,2022-08-01 15:00:00,2022-08-02 01:00:00,600,-43,-0.00149242424241388,2022-08-02 01:00:00,2022-08-02 16:00:00,900,87,0.00199264705882353,NA
"36","140",2022-08-03,215,2022-08-02 16:00:00,2022-08-03 02:00:00,600,-78,-0.00257575757577201,2022-08-03 02:00:00,2022-08-03 14:00:00,720,67,0.00179792429793138,-1
